District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
250,West Siang,Total,444,17,2,"21,231","1,12,274","58,168","54,106",8325.0,13,0,0,0,0,1
251,East Siang,Total,150,1,2,"19,107","99,214","50,116","49,098",3603.0,28,0,0,0,0,1
252,Upper Siang,Total,98,14,1,"7,324","35,320","18,699","16,621",6590.0,5,0,0,0,0,1
253,Changlang,Total,347,15,3,"29,521","1,48,226","76,948","71,278",4662.0,32,0,0,0,0,1
254,Tirap,Total,189,1,3,"20,611","1,11,975","57,604","54,371",2362.0,47,0,0,0,0,1
255,Lower Subansiri,Total,536,42,1,"15,249","83,030","41,843","41,187",3508.0,24,0,0,0,0,1
257,Dibang Valley,Total,134,8,1,"1,952","8,004","4,414","3,590",9129.0,1,0,0,0,0,1
258,Lower Dibang Valley,Total,264,50,1,"11,600","54,080","28,053","26,027",3900.0,14,0,0,0,0,1
259,Lohit,Total,286,14,2,"30,005","1,45,726","76,221","69,505",5212.0,28,0,0,0,0,1
260,Anjaw,Total,278,27,1,"4,612","21,167","11,507","9,660",6190.0,3,0,0,0,0,0
261,Mon,Total,131,0,2,"41,978","2,50,260","1,31,753","1,18,507",1786.0,140,50,15,2,0,1
262,Mokokchung,Total,107,1,4,"42,690","1,94,622","1,01,092","93,530",1615.0,121,51,14,3,0,1
263,Zunheboto,Total,191,0,2,"27,835","1,40,757","71,217","69,540",1255.0,112,47,13,2,0,1
264,Wokha,Total,151,2,1,"31,891","1,66,343","84,505","81,838",1628.0,102,37,12,2,0,1
265,Dimapur ,Total,219,3,7,"78,605","3,78,811","1,97,394","1,81,417",927.0,409,47,8,2,0,1
266,Phek,Total,117,0,2,"36,639","1,63,418","83,743","79,675",2026.0,81,43,23,3,0,1
267,Tuensang,Total,138,6,1,"36,742","1,96,596","1,01,933","94,663",2536.0,78,38,12,2,0,1
268,Longleng,Total,49,0,1,"11,985","50,484","26,502","23,982",562.0,90,8,3,0,0,1
270,Kohima,Total,105,0,3,"54,391","2,67,988","1,38,966","1,29,022",1463.0,183,40,14,3,0,1
271,Peren,Total,102,10,2,"18,475","95,219","49,714","45,505",1651.0,58,16,8,1,0,1
273,Tamenglong ,Total,174,1,1,"25,039","1,40,651","72,371","68,280",4391.0,32,29,6,1,0,1
274,Churachandpur,Total,596,4,3,"49,089","2,74,143","1,38,820","1,35,323",4570.0,60,61,11,1,0,1
275,Bishnupur,Total,48,1,7,"46,580","2,37,399","1,18,782","1,18,617",496.0,479,36,5,2,0,1
276,Thoubal,Total,87,16,9,"85,965","4,22,168","2,10,845","2,11,323",514.0,821,58,12,5,0,1
277,Imphal West,Total,107,17,13,"1,11,156","5,17,992","2,55,054","2,62,938",519.0,998,51,8,2,0,0
278,Imphal East,Total,191,4,15,"92,124","4,56,113","2,26,094","2,30,019",709.0,643,53,11,2,0,0
279,Ukhrul,Total,213,0,1,"35,694","1,83,998","94,718","89,280",4544.0,40,40,8,1,0,1
