Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km
2000,Madhepura,0.0,0.0,213.0,380.0,59.0,3.0,401289.0,2001762.0,1047559.0,954203.0,1788.0,1120.0,272.0,36.0,0.0,0.0,1.0,47.66815435601235,4.988330106232665,308.0,1.0,15.386444542358184,0.0499559887738902,52.33184564398765,1120.0
2000,Madhubani,0.0,0.0,207.0,1040.0,70.0,6.0,898515.0,4487379.0,2329313.0,2158066.0,3501.0,1282.0,434.0,88.0,3.0,2.0,1.0,48.0919039822578,4.994217124922789,525.0,3.0,11.699479807700664,0.066854170329718,51.9080960177422,1282.0
2000,Munger,21.0,0.0,226.0,534.0,324.0,7.0,263171.0,1367765.0,729041.0,638724.0,1419.0,964.0,151.0,30.0,0.0,1.0,1.0,46.69837289300428,5.197248177040783,181.0,2.0,13.233267410702862,0.1462239492895344,53.30162710699572,964.0
2000,Muzaffarpur,86.0,0.0,216.0,1719.0,67.0,9.0,945703.0,4801062.0,2527497.0,2273565.0,3172.0,1514.0,480.0,94.0,1.0,0.0,1.0,47.35546010445189,5.076712244753374,575.0,1.0,11.97651686231088,0.0208287249779319,52.644539895548114,1514.0
2000,Nalanda,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Nawada,2712.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Pashchim Champaran,4.0,0.0,203.0,1365.0,118.0,8.0,710461.0,3935042.0,2061110.0,1873932.0,5228.0,753.0,368.0,53.0,2.0,1.0,1.0,47.62165181464391,5.538716410893771,423.0,2.0,10.749567603090387,0.050825378738016,52.378348185356096,753.0
2000,Patna,263.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Purbi Champaran,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Purnia,7.0,0.0,211.0,1113.0,160.0,3.0,647777.0,3264619.0,1699370.0,1565249.0,3229.0,1011.0,334.0,44.0,2.0,0.0,1.0,47.94583992802836,5.039726634320144,380.0,1.0,11.639949409104094,0.0306314458134318,52.05416007197165,1011.0
